hannah_robot_kinetic,hannah_human_kinetic,tracy_robot_kinetic,tracy_human_kinetic,hannah_robot_effort,hannah_human_effort,tracy_robot_effort,tracy_human_effort
123.9104,127.0414,0.0000,0.0000,1210.8534,3714.1827,0.0000,0.0000
168.7058,176.0288,0.0000,0.0000,1131.2827,4401.9252,0.0000,0.0000
195.9993,200.3063,0.0000,0.0000,1179.4591,5732.2134,0.0000,0.0000
254.2919,255.8006,0.0000,0.0000,2731.5978,11892.4628,0.0000,0.0000
582.7879,520.6490,0.0000,0.0000,39761.4975,143817.6344,0.0000,0.0000
352.3839,356.6739,0.0000,0.0000,4594.1843,19712.2936,0.0000,0.0000
244.6221,255.0255,0.0000,0.0000,3689.1972,15740.7813,0.0000,0.0000
133.0801,140.6579,0.0000,0.0000,2768.4684,10798.0646,0.0000,0.0000
133.0801,140.6579,0.0000,0.0000,2768.4684,10798.0646,0.0000,0.0000
88.5030,93.1809,0.0000,0.0000,2038.3962,7560.9448,0.0000,0.0000
46.5638,53.4123,0.0000,0.0000,1080.8699,4081.0364,0.0000,0.0000
36.7283,43.1316,0.0000,0.0000,458.9551,1395.4393,0.0000,0.0000
41.5415,47.3200,0.0000,0.0000,527.3018,1656.1767,0.0000,0.0000
77.4045,81.4344,0.0000,0.0000,1102.6249,4505.4098,0.0000,0.0000
77.4045,81.4344,0.0000,0.0000,1102.6249,4505.4098,0.0000,0.0000
147.7945,149.7816,0.0000,0.0000,1759.5008,7818.8708,0.0000,0.0000
213.2386,209.5939,0.0000,0.0000,2631.9029,11128.3727,0.0000,0.0000
213.2386,209.5939,0.0000,0.0000,2631.9029,11128.3727,0.0000,0.0000
303.7387,300.1470,0.0000,0.0000,4798.3535,18680.6876,0.0000,0.0000
594.3451,562.8120,0.0000,0.0000,25478.4252,94102.2383,0.0000,0.0000
44.5425,42.5125,0.0000,0.0000,6318.7024,17694.8994,0.0000,0.0000
4147.1616,4201.5159,0.0000,0.0000,32240.9977,144779.0877,0.0000,0.0000
2431.7395,2487.4096,0.0000,0.0000,36312.5285,218826.2684,0.0000,0.0000
1561.6008,1620.2000,0.0000,0.0000,29171.4294,135758.1598,0.0000,0.0000
798.2881,835.1797,0.0000,0.0000,16293.0467,75282.9937,0.0000,0.0000
411.1757,433.4109,0.0000,0.0000,10097.4682,46303.1963,0.0000,0.0000
171.4879,183.8324,0.0000,0.0000,5267.4805,24115.9047,0.0000,0.0000
171.4879,183.8324,0.0000,0.0000,5267.4805,24115.9047,0.0000,0.0000
65.9758,72.2188,0.0000,0.0000,2465.6685,10041.2743,0.0000,0.0000
37.0648,39.7676,0.0000,0.0000,1968.4486,4010.0024,0.0000,0.0000
64.4070,66.0897,0.0000,0.0000,2184.4674,6483.3951,0.0000,0.0000
112.2283,114.2636,0.0000,0.0000,2056.3256,7260.5198,0.0000,0.0000
164.5674,221.9510,0.0000,0.0000,1590.1531,4823.5282,0.0000,0.0000
215.8965,221.9510,0.0000,0.0000,941.5592,4823.5282,0.0000,0.0000
269.0010,274.0590,0.0000,0.0000,685.9566,2890.4410,0.0000,0.0000
272.6327,277.8729,0.0000,0.0000,892.5721,2497.0273,0.0000,0.0000
265.3344,269.7482,0.0000,0.0000,1208.9274,4820.8079,0.0000,0.0000
251.3668,255.8778,0.0000,0.0000,1240.7344,5505.1726,0.0000,0.0000
237.7630,241.7587,0.0000,0.0000,1302.4787,6595.3274,0.0000,0.0000
233.1153,237.5656,0.0000,0.0000,1321.1017,7439.9895,0.0000,0.0000
255.4501,257.9796,0.0000,0.0000,1755.3157,11064.6778,0.0000,0.0000
289.2553,294.9362,0.0000,0.0000,1546.4900,9137.6101,0.0000,0.0000
321.2369,329.8191,0.0000,0.0000,1444.5361,8193.0826,0.0000,0.0000
363.4463,371.2978,0.0000,0.0000,1929.3087,8413.7206,0.0000,0.0000
383.1321,390.0722,0.0000,0.0000,2512.9838,10983.1298,0.0000,0.0000
419.7628,426.8118,0.0000,0.0000,3811.9160,15858.4734,0.0000,0.0000
611.2364,616.7637,0.0000,0.0000,23020.3220,84487.0778,0.0000,0.0000
198.1987,213.9282,0.0000,0.0000,6097.8734,25806.7754,0.0000,0.0000
198.1987,213.9282,0.0000,0.0000,6097.8734,25806.7754,0.0000,0.0000
89.3347,97.2152,0.0000,0.0000,3308.4659,10586.9576,0.0000,0.0000
80.7610,84.8735,0.0000,0.0000,2776.8947,8215.3053,0.0000,0.0000
172.7533,169.3991,0.0000,0.0000,6843.9005,25490.3635,0.0000,0.0000
1548.1100,1626.0311,0.0000,0.0000,40048.1157,158915.7295,0.0000,0.0000
746.1761,767.5654,0.0000,0.0000,10669.2574,45450.5219,0.0000,0.0000
746.1761,767.5654,0.0000,0.0000,10669.2574,45450.5219,0.0000,0.0000
344.9978,350.5636,0.0000,0.0000,4638.0869,27882.8426,0.0000,0.0000
192.4841,197.3141,0.0000,0.0000,2745.8344,16665.7486,0.0000,0.0000
102.1582,109.1908,0.0000,0.0000,1477.2775,8943.2791,0.0000,0.0000
102.1582,109.1908,0.0000,0.0000,1477.2775,8943.2791,0.0000,0.0000
62.5713,67.3156,0.0000,0.0000,722.3358,4347.1398,0.0000,0.0000
52.8443,57.0582,0.0000,0.0000,1206.7555,3866.7771,0.0000,0.0000
57.8154,62.4499,0.0000,0.0000,1033.7612,3833.1924,0.0000,0.0000
70.1643,87.7741,0.0000,0.0000,776.5062,3570.4686,0.0000,0.0000
82.3710,87.7741,0.0000,0.0000,730.5077,3570.4686,0.0000,0.0000
106.8779,112.2597,0.0000,0.0000,1059.4278,5069.5508,0.0000,0.0000
120.6044,125.2551,0.0000,0.0000,1201.0329,5871.1509,0.0000,0.0000
135.7085,140.5111,0.0000,0.0000,1367.0104,6972.6655,0.0000,0.0000
153.5414,156.7093,0.0000,0.0000,1439.0648,7461.8632,0.0000,0.0000
153.5414,156.7093,0.0000,0.0000,1439.0648,7461.8632,0.0000,0.0000
178.0522,181.7434,0.0000,0.0000,1590.6834,8252.6941,0.0000,0.0000
212.7577,214.5161,0.0000,0.0000,2272.7110,10163.8020,0.0000,0.0000
268.2890,269.1542,0.0000,0.0000,2890.1474,12357.9525,0.0000,0.0000
382.6018,377.8716,0.0000,0.0000,6050.4064,25435.1666,0.0000,0.0000
837.5386,842.4996,0.0000,0.0000,22945.7406,101977.3528,0.0000,0.0000
309.2119,321.3803,0.0000,0.0000,2964.2033,16625.7676,0.0000,0.0000
191.3009,200.6814,0.0000,0.0000,2856.8679,13071.3973,0.0000,0.0000
107.5713,114.9597,0.0000,0.0000,2328.8055,9333.0809,0.0000,0.0000
107.5713,114.9597,0.0000,0.0000,2328.8055,9333.0809,0.0000,0.0000
54.5564,59.7499,0.0000,0.0000,1671.6931,5656.5610,0.0000,0.0000
30.6524,34.2335,0.0000,0.0000,1033.6715,2824.3247,0.0000,0.0000
25.4153,27.8899,0.0000,0.0000,924.8160,2375.6905,0.0000,0.0000
39.4250,41.5652,0.0000,0.0000,1072.0902,3551.8083,0.0000,0.0000
84.8418,88.7002,0.0000,0.0000,1298.8841,4796.7570,0.0000,0.0000
112.4045,116.3382,0.0000,0.0000,1559.2926,5611.7323,0.0000,0.0000
155.8970,159.8782,0.0000,0.0000,2310.1798,8001.7151,0.0000,0.0000
305.1961,276.1524,0.0000,0.0000,94845.5352,288940.0162,0.0000,0.0000
351.5061,351.8557,0.0000,0.0000,4852.5068,27677.0017,0.0000,0.0000
351.5061,351.8557,0.0000,0.0000,4852.5068,27677.0017,0.0000,0.0000
80.7921,84.0774,0.0000,0.0000,8174.1014,27210.6999,0.0000,0.0000
683.1844,837.3604,0.0000,0.0000,71443.2988,324557.3196,0.0000,0.0000
304.6252,315.5174,0.0000,0.0000,3624.4720,18327.1423,0.0000,0.0000
196.7315,203.4890,0.0000,0.0000,2097.6810,11942.7977,0.0000,0.0000
142.6675,146.8437,0.0000,0.0000,2205.1458,11871.3336,0.0000,0.0000
238.6193,214.4827,0.0000,0.0000,2504.9525,39969.0808,0.0000,0.0000
34.4045,37.1514,0.0000,0.0000,2482.9189,6290.7685,0.0000,0.0000
103.6350,106.3900,0.0000,0.0000,11278.2587,39244.8137,0.0000,0.0000
320.9263,338.2393,0.0000,0.0000,3131.6699,17044.3709,0.0000,0.0000
249.9715,258.1518,0.0000,0.0000,2309.8788,12487.3766,0.0000,0.0000
175.7616,183.9052,0.0000,0.0000,1853.9674,10393.0884,0.0000,0.0000
114.1653,117.2086,0.0000,0.0000,1305.1270,6822.9668,0.0000,0.0000
99.4328,101.2395,0.0000,0.0000,948.9559,4738.8961,0.0000,0.0000
102.7487,104.2101,0.0000,0.0000,710.7182,3222.1015,0.0000,0.0000
119.5027,120.8731,0.0000,0.0000,855.7196,4040.8982,0.0000,0.0000
146.6523,148.0155,0.0000,0.0000,1257.7461,6198.8465,0.0000,0.0000
146.6523,148.0155,0.0000,0.0000,1257.7461,6198.8465,0.0000,0.0000
252.5625,241.1392,0.0000,0.0000,7637.1484,33273.5754,0.0000,0.0000
131.5152,132.9715,0.0000,0.0000,2561.7480,9612.4584,0.0000,0.0000
107.1797,109.4108,0.0000,0.0000,1844.4274,6795.8670,0.0000,0.0000
102.9419,104.4008,0.0000,0.0000,1407.9109,5103.6950,0.0000,0.0000
111.7003,132.7082,0.0000,0.0000,1120.7039,3546.0330,0.0000,0.0000
163.3474,163.3520,0.0000,0.0000,1436.8280,5851.8846,0.0000,0.0000
216.5416,216.4164,0.0000,0.0000,1964.2707,7819.0868,0.0000,0.0000
385.6619,389.8966,0.0000,0.0000,85587.0386,371648.8624,0.0000,0.0000
137.2209,141.0670,0.0000,0.0000,1771.0347,9730.6565,0.0000,0.0000
137.2209,141.0670,0.0000,0.0000,1771.0347,9730.6565,0.0000,0.0000
130.7538,132.8390,0.0000,0.0000,2021.9955,10810.9675,0.0000,0.0000
162.7449,164.6862,0.0000,0.0000,17277.2554,71638.3953,0.0000,0.0000
42.0536,46.4415,0.0000,0.0000,1924.7571,7589.0206,0.0000,0.0000
14.0947,16.4091,0.0000,0.0000,610.9711,2225.4249,0.0000,0.0000
20.4360,20.5697,0.0000,0.0000,992.8352,3277.5770,0.0000,0.0000
2862.8990,2864.4350,0.0000,0.0000,94194.6553,421427.3207,0.0000,0.0000
2328.9167,2342.6788,0.0000,0.0000,8931.9877,60958.0439,0.0000,0.0000
2004.7437,2032.2720,0.0000,0.0000,16881.8116,105043.1396,0.0000,0.0000
1598.9858,1637.9110,0.0000,0.0000,16751.6131,108157.7202,0.0000,0.0000
1598.9858,1637.9110,0.0000,0.0000,16751.6131,108157.7202,0.0000,0.0000
1025.3710,1056.6489,0.0000,0.0000,11499.1536,71401.1758,0.0000,0.0000
585.9218,608.3614,0.0000,0.0000,7644.5188,43735.8361,0.0000,0.0000
322.8653,339.1452,0.0000,0.0000,5020.8839,27235.1921,0.0000,0.0000
159.2355,168.8833,0.0000,0.0000,3081.9802,14866.5804,0.0000,0.0000
78.9283,49.1708,0.0000,0.0000,1779.7163,3346.5487,0.0000,0.0000
44.8379,46.3040,0.0000,0.0000,906.5762,2756.3301,0.0000,0.0000
66.3921,67.3570,0.0000,0.0000,1693.4169,4271.2785,0.0000,0.0000
91.5463,94.8627,0.0000,0.0000,1453.1471,4141.1529,0.0000,0.0000
113.5774,116.4563,0.0000,0.0000,1069.8783,3454.5054,0.0000,0.0000
113.5774,116.4563,0.0000,0.0000,1069.8783,3454.5054,0.0000,0.0000
130.7902,134.5929,0.0000,0.0000,586.8971,2591.3619,0.0000,0.0000
