hannah_robot_kinetic,hannah_human_kinetic,tracy_robot_kinetic,tracy_human_kinetic,hannah_robot_effort,hannah_human_effort,tracy_robot_effort,tracy_human_effort
3.5480,3.6251,0.0000,0.0000,10.4748,69.9023,0.0000,0.0000
3.1494,3.1921,0.0000,0.0000,11.0162,64.6805,0.0000,0.0000
2.4920,2.5273,0.0000,0.0000,11.2003,55.9866,0.0000,0.0000
2.1218,2.1736,0.0000,0.0000,10.8651,52.0527,0.0000,0.0000
1.8516,1.8979,0.0000,0.0000,6.9432,31.4331,0.0000,0.0000
1.7516,1.7797,0.0000,0.0000,7.0306,30.3305,0.0000,0.0000
1.4832,1.5198,0.0000,0.0000,6.6370,28.8443,0.0000,0.0000
1.3481,1.3835,0.0000,0.0000,6.2312,27.1073,0.0000,0.0000
1.2293,1.2549,0.0000,0.0000,5.7260,24.9989,0.0000,0.0000
1.1109,1.1352,0.0000,0.0000,5.0968,22.7602,0.0000,0.0000
0.9173,0.9389,0.0000,0.0000,3.8880,18.3869,0.0000,0.0000
0.8075,0.8326,0.0000,0.0000,3.1886,15.7227,0.0000,0.0000
0.7472,0.7706,0.0000,0.0000,2.7292,13.8391,0.0000,0.0000
0.8458,0.8562,0.0000,0.0000,9.7758,35.1181,0.0000,0.0000
1.0399,1.0538,0.0000,0.0000,9.9300,35.7233,0.0000,0.0000
1.2384,1.2666,0.0000,0.0000,10.8475,39.0053,0.0000,0.0000
1.4840,1.5159,0.0000,0.0000,13.3096,47.6695,0.0000,0.0000
2.2795,2.2803,0.0000,0.0000,32.6341,113.7426,0.0000,0.0000
4.0670,3.9062,0.0000,0.0000,166.4887,560.5364,0.0000,0.0000
3909.6703,3951.2450,0.0000,0.0000,35230.6679,142925.7348,0.0000,0.0000
1894.8447,1911.0082,0.0000,0.0000,57316.8523,248902.2781,0.0000,0.0000
1038.2927,1091.1900,0.0000,0.0000,28114.4370,103818.6691,0.0000,0.0000
489.7830,514.9526,0.0000,0.0000,12789.5484,47280.5636,0.0000,0.0000
318.5211,336.8020,0.0000,0.0000,8857.0621,34332.4440,0.0000,0.0000
128.2064,136.8060,0.0000,0.0000,4232.8087,18242.5248,0.0000,0.0000
48.6077,52.3757,0.0000,0.0000,2248.3864,9915.4996,0.0000,0.0000
20.3970,14.0214,0.0000,0.0000,1427.7570,2927.4164,0.0000,0.0000
20.0593,19.6882,0.0000,0.0000,667.3218,2397.5392,0.0000,0.0000
33.3674,33.8619,0.0000,0.0000,485.3219,1923.1833,0.0000,0.0000
43.4579,44.1722,0.0000,0.0000,435.6978,1914.8137,0.0000,0.0000
55.6333,56.1678,0.0000,0.0000,324.2331,1612.9781,0.0000,0.0000
55.6333,56.1678,0.0000,0.0000,324.2331,1612.9781,0.0000,0.0000
61.5757,62.4245,0.0000,0.0000,224.2153,1266.4985,0.0000,0.0000
64.9461,65.9682,0.0000,0.0000,150.1906,983.5578,0.0000,0.0000
64.2891,65.5597,0.0000,0.0000,156.9484,541.3703,0.0000,0.0000
60.8386,61.8546,0.0000,0.0000,229.0886,915.2195,0.0000,0.0000
56.5670,57.7959,0.0000,0.0000,271.4025,1117.3188,0.0000,0.0000
56.5670,57.7959,0.0000,0.0000,271.4025,1117.3188,0.0000,0.0000
49.7995,50.5688,0.0000,0.0000,307.5725,1292.1640,0.0000,0.0000
43.5871,44.2383,0.0000,0.0000,322.2015,1352.4108,0.0000,0.0000
35.6436,36.4936,0.0000,0.0000,317.4681,1314.3455,0.0000,0.0000
29.7314,30.4725,0.0000,0.0000,305.5169,1246.1048,0.0000,0.0000
19.3685,19.6606,0.0000,0.0000,251.9776,993.0816,0.0000,0.0000
16.1575,16.5979,0.0000,0.0000,224.3903,882.3174,0.0000,0.0000
12.3085,12.6583,0.0000,0.0000,182.9582,714.5542,0.0000,0.0000
10.0965,10.3933,0.0000,0.0000,152.4395,594.0220,0.0000,0.0000
8.1203,8.3644,0.0000,0.0000,122.9262,479.0975,0.0000,0.0000
6.5231,6.7295,0.0000,0.0000,99.7541,380.7243,0.0000,0.0000
4.5787,4.7394,0.0000,0.0000,62.3124,235.1577,0.0000,0.0000
3.9038,4.0472,0.0000,0.0000,51.7070,180.7959,0.0000,0.0000
3.3551,3.4624,0.0000,0.0000,36.0711,125.9401,0.0000,0.0000
2.9198,3.0414,0.0000,0.0000,24.0697,85.4448,0.0000,0.0000
2.6091,2.7222,0.0000,0.0000,15.6893,57.3573,0.0000,0.0000
2.0065,2.0994,0.0000,0.0000,8.3646,32.7084,0.0000,0.0000
1.7982,1.8830,0.0000,0.0000,9.3470,29.9434,0.0000,0.0000
1.5225,1.5959,0.0000,0.0000,10.5981,29.4958,0.0000,0.0000
1.5225,1.5959,0.0000,0.0000,10.5981,29.4958,0.0000,0.0000
1.3463,1.4008,0.0000,0.0000,11.0370,29.5198,0.0000,0.0000
1.1629,1.2100,0.0000,0.0000,11.1810,28.9594,0.0000,0.0000
0.9867,1.0266,0.0000,0.0000,9.6718,27.8146,0.0000,0.0000
0.6807,0.7168,0.0000,0.0000,9.1194,24.4764,0.0000,0.0000
0.5472,0.5768,0.0000,0.0000,7.9807,20.3008,0.0000,0.0000
0.4724,0.4983,0.0000,0.0000,7.2421,17.8925,0.0000,0.0000
0.4027,0.4206,0.0000,0.0000,6.4627,15.4045,0.0000,0.0000
0.4027,0.4206,0.0000,0.0000,6.4627,15.4045,0.0000,0.0000
0.3502,0.3699,0.0000,0.0000,5.8433,13.7672,0.0000,0.0000
0.2941,0.3074,0.0000,0.0000,5.1128,11.6500,0.0000,0.0000
0.2250,0.2353,0.0000,0.0000,4.2374,9.2635,0.0000,0.0000
0.1852,0.1937,0.0000,0.0000,3.6717,7.8219,0.0000,0.0000
0.1589,0.1663,0.0000,0.0000,1.7791,6.4039,0.0000,0.0000
0.1589,0.1663,0.0000,0.0000,1.7791,6.4039,0.0000,0.0000
0.1527,0.1598,0.0000,0.0000,1.8365,5.7187,0.0000,0.0000
0.1471,0.1546,0.0000,0.0000,2.0202,5.3016,0.0000,0.0000
0.1329,0.1402,0.0000,0.0000,2.2125,4.5051,0.0000,0.0000
0.1235,0.1305,0.0000,0.0000,2.1789,4.3226,0.0000,0.0000
0.1235,0.1219,0.0000,0.0000,2.1789,4.3226,0.0000,0.0000
0.1157,0.1219,0.0000,0.0000,2.1072,4.1309,0.0000,0.0000
0.1133,0.1206,0.0000,0.0000,2.0937,4.1099,0.0000,0.0000
0.0921,0.0979,0.0000,0.0000,1.7304,3.4655,0.0000,0.0000
0.0871,0.0917,0.0000,0.0000,1.1764,2.8749,0.0000,0.0000
0.0905,0.0952,0.0000,0.0000,0.8671,2.3787,0.0000,0.0000
0.0930,0.0979,0.0000,0.0000,0.6080,1.9592,0.0000,0.0000
0.0948,0.0997,0.0000,0.0000,0.4321,1.6994,0.0000,0.0000
0.0936,0.0985,0.0000,0.0000,0.3106,1.1893,0.0000,0.0000
0.0891,0.0937,0.0000,0.0000,0.3820,1.0477,0.0000,0.0000
0.0830,0.0873,0.0000,0.0000,0.4127,1.1330,0.0000,0.0000
0.0758,0.0801,0.0000,0.0000,0.4328,1.2103,0.0000,0.0000
0.0671,0.0709,0.0000,0.0000,0.4364,1.2364,0.0000,0.0000
0.0696,0.0697,0.0000,0.0000,4.4157,11.0417,0.0000,0.0000
0.0696,0.0697,0.0000,0.0000,4.4157,11.0417,0.0000,0.0000
0.2013,0.2047,0.0000,0.0000,3.7051,10.1567,0.0000,0.0000
0.2630,0.2692,0.0000,0.0000,2.6672,7.7629,0.0000,0.0000
0.3149,0.3240,0.0000,0.0000,1.5034,4.6550,0.0000,0.0000
0.3331,0.3438,0.0000,0.0000,0.6469,2.2493,0.0000,0.0000
0.3375,0.3490,0.0000,0.0000,0.3544,1.1266,0.0000,0.0000
0.3273,0.3393,0.0000,0.0000,0.9302,2.5823,0.0000,0.0000
0.3098,0.3217,0.0000,0.0000,1.3116,3.5685,0.0000,0.0000
0.3098,0.3217,0.0000,0.0000,1.3116,3.5685,0.0000,0.0000
0.2823,0.2936,0.0000,0.0000,1.6045,4.3289,0.0000,0.0000
0.2525,0.2614,0.0000,0.0000,1.7421,4.7027,0.0000,0.0000
0.3583,0.3687,0.0000,0.0000,0.9966,4.4846,0.0000,0.0000
0.3812,0.3937,0.0000,0.0000,0.2932,1.7993,0.0000,0.0000
0.3822,0.3962,0.0000,0.0000,1.0015,2.4242,0.0000,0.0000
0.3654,0.3797,0.0000,0.0000,1.6491,4.1077,0.0000,0.0000
0.3374,0.3497,0.0000,0.0000,2.0829,5.3211,0.0000,0.0000
0.3010,0.3141,0.0000,0.0000,2.2781,5.9278,0.0000,0.0000
0.3010,0.3141,0.0000,0.0000,2.2781,5.9278,0.0000,0.0000
0.2594,0.2712,0.0000,0.0000,2.3234,6.0721,0.0000,0.0000
0.2178,0.2281,0.0000,0.0000,2.2140,5.7899,0.0000,0.0000
0.2340,0.2424,0.0000,0.0000,0.8783,3.1336,0.0000,0.0000
0.2449,0.2549,0.0000,0.0000,0.6008,1.8499,0.0000,0.0000
0.2455,0.2563,0.0000,0.0000,0.8057,2.2017,0.0000,0.0000
0.2360,0.2475,0.0000,0.0000,1.0466,2.6294,0.0000,0.0000
0.2232,0.2347,0.0000,0.0000,1.1681,3.0649,0.0000,0.0000
0.2060,0.2170,0.0000,0.0000,1.2771,3.4397,0.0000,0.0000
0.1638,0.1730,0.0000,0.0000,1.3270,3.5927,0.0000,0.0000
0.1400,0.1480,0.0000,0.0000,1.2620,3.4228,0.0000,0.0000
0.1246,0.1307,0.0000,0.0000,1.6984,5.3852,0.0000,0.0000
0.1246,0.1307,0.0000,0.0000,1.6984,5.3852,0.0000,0.0000
0.1246,0.1312,0.0000,0.0000,1.3900,4.3797,0.0000,0.0000
0.1241,0.1311,0.0000,0.0000,1.1038,3.5105,0.0000,0.0000
0.1218,0.1290,0.0000,0.0000,0.6839,2.4500,0.0000,0.0000
0.1178,0.1256,0.0000,0.0000,0.4700,1.7760,0.0000,0.0000
0.1119,0.1188,0.0000,0.0000,0.4010,1.4304,0.0000,0.0000
0.1070,0.1141,0.0000,0.0000,0.4522,1.4358,0.0000,0.0000
0.0987,0.1045,0.0000,0.0000,1.4237,3.7984,0.0000,0.0000
0.0987,0.1040,0.0000,0.0000,0.9807,2.6830,0.0000,0.0000
0.0985,0.1029,0.0000,0.0000,0.7694,2.3642,0.0000,0.0000
0.0975,0.1029,0.0000,0.0000,0.7694,2.3642,0.0000,0.0000
0.0958,0.1013,0.0000,0.0000,0.9111,2.3306,0.0000,0.0000
0.0891,0.0956,0.0000,0.0000,1.2787,2.8198,0.0000,0.0000
0.0891,0.0956,0.0000,0.0000,1.2787,2.8198,0.0000,0.0000
0.0845,0.0909,0.0000,0.0000,1.4094,3.0701,0.0000,0.0000
0.0740,0.0806,0.0000,0.0000,1.5236,3.2913,0.0000,0.0000
0.0565,0.0627,0.0000,0.0000,1.4367,3.1092,0.0000,0.0000
0.0626,0.0673,0.0000,0.0000,2.1218,4.6157,0.0000,0.0000
0.0712,0.0763,0.0000,0.0000,1.5569,3.5440,0.0000,0.0000
0.0824,0.0873,0.0000,0.0000,0.9804,2.4583,0.0000,0.0000
0.0890,0.0934,0.0000,0.0000,0.5775,1.6250,0.0000,0.0000
0.0925,0.0968,0.0000,0.0000,0.2874,1.0877,0.0000,0.0000
0.0934,0.0975,0.0000,0.0000,0.2471,0.8668,0.0000,0.0000
0.0871,0.0908,0.0000,0.0000,0.4215,1.0159,0.0000,0.0000
0.0821,0.0855,0.0000,0.0000,0.4536,1.0801,0.0000,0.0000
0.0821,0.0855,0.0000,0.0000,0.4536,1.0801,0.0000,0.0000
0.0750,0.0777,0.0000,0.0000,0.4544,1.0713,0.0000,0.0000
0.0760,0.0786,0.0000,0.0000,1.5005,3.5813,0.0000,0.0000
0.0882,0.0905,0.0000,0.0000,1.0619,2.5185,0.0000,0.0000
0.0968,0.0995,0.0000,0.0000,0.7288,1.9444,0.0000,0.0000
0.1040,0.1087,0.0000,0.0000,0.3637,0.8670,0.0000,0.0000
0.1029,0.1064,0.0000,0.0000,0.4034,1.1513,0.0000,0.0000
0.0974,0.1009,0.0000,0.0000,0.5144,1.3396,0.0000,0.0000
0.0898,0.0932,0.0000,0.0000,0.6083,1.4876,0.0000,0.0000
0.0814,0.0846,0.0000,0.0000,0.6704,1.6188,0.0000,0.0000
0.0710,0.0738,0.0000,0.0000,0.6827,1.6484,0.0000,0.0000
0.0620,0.0645,0.0000,0.0000,0.6640,1.6002,0.0000,0.0000
0.0593,0.0615,0.0000,0.0000,0.9534,2.4123,0.0000,0.0000
0.0586,0.0609,0.0000,0.0000,0.8878,2.1640,0.0000,0.0000
0.0561,0.0586,0.0000,0.0000,0.7967,1.7257,0.0000,0.0000
0.0516,0.0544,0.0000,0.0000,0.8006,1.6578,0.0000,0.0000
0.0464,0.0489,0.0000,0.0000,0.7929,1.6725,0.0000,0.0000
0.0412,0.0435,0.0000,0.0000,0.7444,1.5961,0.0000,0.0000
0.0297,0.0315,0.0000,0.0000,0.5861,1.3077,0.0000,0.0000
0.0297,0.0315,0.0000,0.0000,0.5861,1.3077,0.0000,0.0000
0.0188,0.0201,0.0000,0.0000,1.9128,3.6963,0.0000,0.0000
0.0173,0.0180,0.0000,0.0000,1.4696,3.1997,0.0000,0.0000
